"","date","FBCF","PIB","POUP","NFSP","TT","WP","ER","IR","IBOV","EMBI","LINF","LAGR","LIND","LCOM","LTOT","IIE","ICI","ICE","CURI","CIB"
"27",2005-01-01,202630.762935076,1184614.65841862,218812.220105422,-3.78,94.14,88.6970619969313,124.02,9.79424634577786,24432.9,422.285714285714,1695.87185684362,2641.07811194851,458.456525340607,325.482507884407,5112.27955655237,93.1,107.1,101.3,83.6,101.11
"28",2005-02-01,202526.105842451,1184004.75544762,219883.57597232,-3.64,93.72,88.8959890419095,120.05,10.3175342210634,26551.3888888889,405.15,1303.3893513785,1491.92723207393,410.972412867192,305.588870643556,3537.89716389321,90.8,104.9,102,83.3,98.34
"29",2005-03-01,204550.514962368,1190479.17891308,221650.266207154,-3.73,93.79,89.0571319705918,125.3,10.6286033103961,27272.3354754227,422.318181818182,1027.37598412815,2123.69241591183,361.625145895844,306.432484028185,3949.57525458118,91.4,102.9,102.5,83,106.82
"30",2005-04-01,207191.412658665,1198817.60762196,222184.923879954,-4.08,93.98,89.6196082450923,118.26,10.4099194966226,25886.3652031308,455.095238095238,1018.82181408616,1436.78424296661,365.215174422958,275.102854860285,3150.06211350493,98.3,101.9,101.7,82.7,99.86
"31",2005-05-01,208866.388888454,1207525.11881699,222081.32153034,-4.01,95.86,89.4590330497436,111.64,10.6987505784359,24810.2857142857,436.136363636364,1414.68506720935,1952.14037366135,231.823263656951,320.875625069598,3897.48043776263,99.6,99.8,97.4,81.9,93.24
"32",2005-06-01,209283.163698042,1216234.76120047,220749.541757412,-3.99,94.55,89.7597224253646,108.35,11.6341940896802,25431.2727272727,422.636363636364,1030.69700512903,2314.36591211282,412.679772809438,394.479142667559,4396.40722672442,100.4,97.2,95.5,81.1,90.22
"33",2005-07-01,207600.962272036,1217537.17481092,217707.905605665,-4.02,96.77,89.827054104663,106.38,12.3393074974195,25254.6666666667,408.809523809524,2118.35584383769,1399.5273353463,318.402427796227,385.893825446203,4330.02324287715,99.8,95.5,95,80.3,88.68
"34",2005-08-01,207139.646404635,1223362.80501856,216698.581834597,-4.02,94.54,90.1786096226232,106.82,12.9503867194869,27007.8260869565,401.347826086957,1334.54793273502,2098.7494349975,244.340282074399,468.467009245378,4053.31945517886,99.3,94.9,95.3,80.3,90.46
"35",2005-09-01,207706.836713262,1232245.08739695,217720.225553369,-3.94,95.01,90.4262963316484,104.03,12.7970577140702,29859.7619047619,375.636363636364,744.080470885767,1402.10506604051,266.427980827921,275.109108812838,2601.29811551898,95.4,96.1,96.4,80.4,90.96
"36",2005-10-01,208565.305191885,1239526.80149307,219587.938157024,-3.97,94.16,90.6938391174281,100.88,12.1192177510342,29844,371.809523809524,1048.8955487056,917.891690493118,246.114516450088,222.670048001249,2455.77284313846,92.3,95.2,94.8,80.5,93.09
"37",2005-11-01,210552.975725901,1246162.31300727,221469.000619518,-3.91,95.84,91.5745869035793,97.21,11.9092449632838,31146.85,348.954545454545,1187.82786985447,2844.73637373523,295.726136623357,242.917404001127,4671.07440472453,97.4,95.7,92.6,79.9,91.8
"38",2005-12-01,213758.982607625,1250919.7976524,222503.676005712,-3.74,97.49,91.9594369016543,100.9,11.8743495127259,33130.1428571429,313.565217391304,1678.48422884969,1978.86380998207,381.333661968594,212.947374163197,4275.76977137915,89.4,98,91.7,80.6,100
"39",2006-01-01,217097.288643552,1249326.5175284,222112.143298505,-3.42,96.99,92.2678765399269,100.68,11.3055818353831,36189.4761904762,282.681818181818,1810.02086642697,839.325975744053,356.580765707324,524.167146228682,3361.20995575294,93.4,99.7,93.4,81.7,101.81
"40",2006-02-01,219443.532070333,1248629.1966244,221532.66263956,-3.37,98.72,92.4690565500128,95.44,11.1553407259976,37550.7777777778,238.65,941.852769598466,1046.09259946054,332.852570225284,264.082326602519,2635.97129570885,89,100.3,97.5,81.1,97.57
"41",2006-03-01,219185.631995743,1246745.99388671,220025.03527503,-3.29,96.45,92.8718287875187,95.29,10.843144701861,37966.7046738196,229.391304347826,971.421170666957,1368.94939000484,335.696353159423,268.036663988201,3044.24665728854,92.3,100.8,100.4,81.7,93.81
"42",2006-04-01,217701.893180196,1248144.47193735,219380.808747516,-3.31,96.99,93.1535189105729,95.14,11.0484564656408,38984.4824242393,234,1287.53725059814,2769.55437544104,211.869460802445,288.63004037857,4611.69548328125,90.1,103.2,104,81,95.29
"43",2006-05-01,217108.786899775,1256922.64030826,222360.106335021,-3.3,96.89,93.6200597941189,99.31,11.0045092583709,39033,246.086956521739,1168.58535277774,2023.58024851217,308.764199548892,322.85807607235,3790.15553761855,98,100.6,98.3,81.1,99.12
"44",2006-06-01,218619.515513755,1276699.41557069,230558.077781321,-3.32,98.53,94.0260826577534,102.35,10.7180620974719,35072.4761904762,262.136363636364,1484.97922545378,1996.04300004525,216.365794059176,362.079010398531,4222.38520162953,94.1,100.1,98.6,81.2,99.63
"45",2006-07-01,220473.767603131,1296831.2108557,240516.81757702,-3.24,101.59,94.0990480413119,100.12,10.5895931518707,36302.3333333333,239.571428571429,1080.91107292732,2594.30016559673,227.798471558973,320.517389247716,4130.64541262406,93.5,101.5,101.3,81.7,99.75
"46",2006-08-01,223273.81988947,1318028.29636173,248876.644927798,-3.35,101.06,94.5814221037827,99.2,10.4198767334361,36923.8695652174,218.173913043478,1226.56719812695,2941.78344208353,191.7550796326,313.664640512153,4564.95834739536,94,99.3,99.6,81.8,97.05
"47",2006-09-01,226319.319927063,1334901.39577431,254108.921047088,-3.22,102.61,94.7574965197143,99.14,10.0964320154291,36173.95,229,1078.17355611943,2572.25901363042,241.235891391094,354.148390676387,4109.90679592648,96.4,101.7,102.5,81.9,94.66
"48",2006-10-01,229607.678234365,1348148.28779448,257486.570489999,-3.29,103.26,94.8303255803647,97.72,10.3525082316483,38628.380952381,217.727272727273,1054.43849083707,1862.18575712204,271.843004536891,355.244279327938,3521.54366258522,98.5,100.5,99.7,81.6,95.76
"49",2006-11-01,232781.26676004,1359688.06832723,261139.904159181,-3.28,102.26,95.6432380409353,98.62,10.3183847796544,41199.3684210526,219.869565217391,2542.93939846862,1993.72016622876,286.231271931384,420.010610317346,5187.20002583144,91.7,102.8,99.7,81.6,99.88
"50",2006-12-01,235285.287728425,1367105.53238278,264966.161457637,-3.15,104.65,96.2980819120216,99.29,9.74403723094821,43316.6842105263,206.5,1116.98138881112,3413.70289908105,372.049931191785,863.593911291706,5822.30213192654,97.7,105.3,99.1,81.7,100.81
"51",2007-01-01,237783.004402382,1373735.20070638,269008.532763296,-3.49,102.16,96.5131383525091,97.85,9.84561607923098,43443,191.636363636364,2035.93461365572,3670.82606087461,359.315448268295,409.271647362964,6361.68767154176,91.8,104.2,97.8,82.3,99.11
"52",2007-02-01,240799.575212584,1380761.41158434,271809.638389421,-3.5,101.83,96.9057213246722,95.85,9.61949136090079,45163.8333333333,183.15,1176.36372528419,1676.87445496962,296.374593366566,299.747773614787,3482.66972462236,97,107.4,104.7,83.2,98.79
"53",2007-03-01,244066.850087924,1389531.53004433,273061.826601676,-3.41,103.85,97.3549723978098,96.14,9.49883449883449,44232.0943425606,186.636363636364,1837.80345546662,1961.4605608808,437.097652415151,744.265918681398,5102.98923118895,91.5,108.8,108.8,82.6,98.75
"54",2007-04-01,247739.829456901,1400019.4864875,273487.329860662,-3.41,100.53,97.5277761420067,94.59,9.30097087378641,47799.7652578249,154.7,1487.24302023633,1810.64203466317,409.408814579682,458.846658858727,4201.38715077681,95.5,111.4,111.3,82.8,95.87
